Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,Survived,relatives,Alone
1,1,30.0,0,0,86.5,40.0,0,3.0,1,0,1
3,0,29.0,0,0,7.75,146.0,2,5.0,0,0,1
3,0,23.0,8,2,69.55,146.0,0,5.0,0,10,0
3,0,21.0,0,0,16.1,146.0,0,5.0,0,0,1
1,0,28.0,0,0,47.1,146.0,0,5.0,0,0,1
3,0,26.0,1,2,20.575,146.0,0,5.0,0,3,0
3,0,34.0,0,0,6.4958,146.0,0,5.0,0,0,1
3,0,25.0,0,0,0.0,146.0,0,5.0,1,0,1
3,0,32.0,0,0,7.8542,146.0,0,5.0,1,0,1
3,0,19.0,0,0,7.65,140.0,0,5.0,0,0,1
3,0,25.0,0,0,7.7417,146.0,2,5.0,0,0,1
3,0,32.0,0,0,7.925,146.0,0,5.0,0,0,1
3,1,18.0,8,2,69.55,146.0,0,3.0,0,10,0
3,0,20.5,0,0,7.25,146.0,0,5.0,0,0,1
2,0,34.0,0,0,13.0,146.0,0,5.0,0,0,1
3,1,31.0,0,0,7.8542,146.0,0,3.0,0,0,1
1,0,47.0,0,0,52.0,52.0,0,5.0,0,0,1
3,0,30.0,0,0,8.05,146.0,0,5.0,0,0,1
2,0,31.0,0,0,13.0,146.0,0,5.0,1,0,1
2,0,23.0,0,0,13.0,146.0,0,5.0,0,0,1
2,1,50.0,0,0,10.5,146.0,0,3.0,1,0,1
3,0,24.0,2,0,24.15,146.0,0,5.0,0,2,0
3,1,42.0,0,0,8.05,146.0,0,6.0,0,0,1
3,0,28.0,0,0,7.7958,146.0,0,5.0,0,0,1
1,1,58.0,0,0,146.5208,43.0,1,3.0,1,0,1
3,1,28.0,1,1,14.4,146.0,0,6.0,0,2,0
3,0,18.0,0,0,7.775,146.0,0,5.0,0,0,1
1,0,42.0,1,0,52.5542,95.0,0,5.0,1,1,0
3,1,18.0,0,1,9.35,146.0,0,6.0,1,1,0
3,0,47.0,0,0,9.0,146.0,0,5.0,0,0,1
3,0,22.0,0,0,7.8958,146.0,0,5.0,0,0,1
3,0,31.0,0,0,7.775,146.0,0,5.0,0,0,1
2,0,54.0,0,0,14.0,146.0,0,0.0,0,0,1
3,0,26.0,0,0,8.05,146.0,0,5.0,0,0,1
3,0,16.0,1,1,20.25,146.0,0,5.0,0,2,0
3,1,16.0,5,2,46.9,146.0,0,3.0,0,7,0
1,0,37.0,0,0,30.0,105.0,0,5.0,1,0,1
3,0,41.0,2,0,14.1083,146.0,0,5.0,0,2,0
1,0,38.0,0,0,0.0,146.0,0,1.0,0,0,1
3,0,39.0,0,0,7.925,146.0,0,5.0,1,0,1
3,1,43.0,1,6,46.9,146.0,0,6.0,0,7,0
3,0,49.0,0,0,0.0,146.0,0,5.0,0,0,1
3,0,16.0,0,0,8.05,146.0,0,5.0,1,0,1
1,0,30.0,0,0,27.75,53.0,1,5.0,0,0,1
1,1,30.0,0,0,93.5,39.0,0,3.0,1,0,1
3,1,9.0,2,2,34.375,146.0,0,3.0,0,4,0
2,1,3.0,1,2,41.5792,146.0,1,3.0,1,3,0
3,0,21.0,0,0,7.925,146.0,0,5.0,0,0,1
3,0,19.0,0,0,7.775,146.0,0,5.0,0,0,1
1,0,42.0,0,0,0.0,146.0,0,5.0,0,0,1
2,0,8.0,1,1,36.75,146.0,0,2.0,1,2,0
3,0,44.0,0,0,7.8958,146.0,0,5.0,0,0,1
3,0,19.0,0,0,7.8958,146.0,0,5.0,0,0,1
2,1,30.0,0,0,12.35,146.0,2,3.0,1,0,1
3,0,35.0,0,0,7.75,143.0,2,5.0,0,0,1
3,0,24.0,1,0,16.1,146.0,0,5.0,0,1,0
2,1,32.0,0,0,13.0,146.0,0,6.0,1,0,1
1,0,40.0,0,0,31.0,8.0,1,5.0,1,0,1
2,1,34.0,0,1,23.0,146.0,0,6.0,1,1,0
3,0,30.0,0,0,7.225,146.0,1,5.0,0,0,1
3,0,36.0,0,0,7.4958,146.0,0,5.0,0,0,1
2,1,36.0,0,0,13.0,146.0,0,3.0,1,0,1
2,0,25.0,0,0,13.0,146.0,0,5.0,0,0,1
1,0,16.0,0,0,227.525,146.0,1,5.0,0,0,1
1,1,15.0,0,0,79.2,146.0,1,6.0,1,0,1
3,0,19.0,0,0,8.05,146.0,0,5.0,1,0,1
3,1,38.0,0,0,7.8792,146.0,2,3.0,1,0,1
2,0,19.0,0,0,10.5,146.0,0,5.0,0,0,1
3,1,30.0,1,0,14.4583,146.0,1,6.0,0,1,0
1,1,32.0,1,0,146.5208,41.0,1,6.0,1,1,0
3,0,16.0,0,0,7.775,146.0,0,5.0,0,0,1
3,0,29.0,0,0,7.8958,146.0,1,5.0,0,0,1
1,1,19.0,0,2,26.2833,107.0,0,3.0,1,2,0
2,0,57.0,0,0,12.35,146.0,2,8.0,0,0,1
3,1,6.0,4,2,31.275,146.0,0,3.0,0,6,0
2,0,23.0,0,0,15.05,146.0,1,5.0,0,0,1
3,0,24.0,0,0,7.3125,146.0,0,5.0,0,0,1
3,1,15.0,0,0,7.225,146.0,1,3.0,1,0,1
3,0,16.0,1,3,34.375,146.0,0,5.0,0,4,0
1,1,54.0,1,0,59.4,146.0,1,6.0,1,1,0
1,0,64.0,1,4,263.0,63.0,0,5.0,0,5,0
3,0,24.0,0,0,7.4958,146.0,0,5.0,0,0,1
1,1,31.0,0,2,164.8667,76.0,0,3.0,1,2,0
1,0,39.0,0,0,39.6,146.0,1,0.0,0,0,1
3,0,38.0,0,0,8.6625,146.0,0,5.0,0,0,1
2,0,32.0,2,0,73.5,146.0,0,5.0,0,2,0
3,1,31.0,1,1,20.525,146.0,0,6.0,1,2,0
3,1,5.0,0,0,12.475,146.0,0,3.0,1,0,1
3,0,40.0,1,1,15.5,146.0,2,5.0,0,2,0
3,1,1.0,0,2,15.7417,146.0,1,3.0,1,2,0
1,0,71.0,0,0,34.6542,12.0,1,5.0,0,0,1
3,1,18.0,0,0,7.775,146.0,0,3.0,0,0,1
1,1,39.0,1,1,79.65,134.0,0,6.0,1,2,0
1,0,37.0,1,0,53.1,55.0,0,5.0,0,1,0
1,0,38.0,1,0,90.0,87.0,0,5.0,1,1,0
2,1,30.0,0,0,13.0,146.0,0,3.0,1,0,1
1,0,36.0,0,0,26.2875,121.0,0,5.0,1,0,1
1,0,54.0,0,1,77.2875,98.0,0,5.0,0,1,0
2,1,54.0,1,3,23.0,146.0,0,6.0,1,4,0
3,1,22.0,0,0,7.775,146.0,0,3.0,1,0,1
3,1,30.0,0,0,7.75,146.0,2,3.0,1,0,1
3,0,36.0,0,0,0.0,146.0,0,5.0,0,0,1
3,0,22.0,8,2,69.55,146.0,0,5.0,0,10,0
2,1,32.5,0,0,13.0,116.0,0,3.0,1,0,1
1,1,33.0,1,0,90.0,78.0,2,3.0,1,1,0
2,1,30.0,3,0,21.0,146.0,0,6.0,1,3,0
3,0,27.0,8,2,69.55,146.0,0,5.0,0,10,0
3,0,31.0,0,0,8.05,146.0,0,5.0,0,0,1
3,0,25.0,1,0,7.775,146.0,0,5.0,1,1,0
3,1,21.0,0,0,7.75,146.0,2,3.0,0,0,1
3,1,25.0,0,2,22.3583,146.0,1,6.0,1,2,0
2,0,24.0,0,0,10.5,146.0,0,5.0,0,0,1
3,0,21.0,0,0,7.7958,146.0,0,5.0,1,0,1
1,1,18.0,1,0,227.525,73.0,1,6.0,1,1,0
3,1,4.0,0,1,13.4167,146.0,1,3.0,1,1,0
1,1,24.0,0,0,69.3,24.0,1,4.0,1,0,1
