Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Survived
1,female,30.0,0,0,110152,86.5,B77,S,Miss,1
3,male,,0,0,370372,7.75,,Q,Mr,0
3,male,,8,2,CA. 2343,69.55,,S,Mr,0
3,male,21.0,0,0,54636,16.1,,S,Mr,0
1,male,28.0,0,0,113059,47.1,,S,Mr,0
3,male,26.0,1,2,C.A. 2315,20.575,,S,Mr,0
3,male,34.0,0,0,3101264,6.4958,,S,Mr,0
3,male,25.0,0,0,LINE,0.0,,S,Mr,1
3,male,32.0,0,0,350417,7.8542,,S,Mr,1
3,male,19.0,0,0,348124,7.65,F G73,S,Mr,0
3,male,25.0,0,0,36864,7.7417,,Q,Mr,0
3,male,32.0,0,0,STON/O 2. 3101292,7.925,,S,Mr,0
3,female,,8,2,CA. 2343,69.55,,S,Miss,0
3,male,20.5,0,0,A/5 21173,7.25,,S,Mr,0
2,male,34.0,0,0,250647,13.0,,S,Mr,0
3,female,31.0,0,0,350407,7.8542,,S,Miss,0
1,male,47.0,0,0,110465,52.0,C110,S,Mr,0
3,male,30.0,0,0,SOTON/OQ 392090,8.05,,S,Mr,0
2,male,31.0,0,0,244270,13.0,,S,Mr,1
2,male,23.0,0,0,29751,13.0,,S,Mr,0
2,female,50.0,0,0,F.C.C. 13531,10.5,,S,Miss,1
3,male,24.0,2,0,A/4 48871,24.15,,S,Mr,0
3,female,,0,0,343095,8.05,,S,Mrs,0
3,male,28.0,0,0,350042,7.7958,,S,Mr,0
1,female,58.0,0,0,PC 17569,146.5208,B80,C,Miss,1
3,female,28.0,1,1,347080,14.4,,S,Mrs,0
3,male,18.0,0,0,349912,7.775,,S,Mr,0
1,male,42.0,1,0,11753,52.5542,D19,S,Mr,1
3,female,18.0,0,1,392091,9.35,,S,Mrs,1
3,male,47.0,0,0,345765,9.0,,S,Mr,0
3,male,22.0,0,0,349252,7.8958,,S,Mr,0
3,male,31.0,0,0,347063,7.775,,S,Mr,0
2,male,54.0,0,0,29011,14.0,,S,Dr,0
3,male,26.0,0,0,341826,8.05,,S,Mr,0
3,male,16.0,1,1,C.A. 2673,20.25,,S,Mr,0
3,female,16.0,5,2,CA 2144,46.9,,S,Miss,0
1,male,,0,0,16988,30.0,D45,S,Mr,1
3,male,41.0,2,0,350026,14.1083,,S,Mr,0
1,male,38.0,0,0,19972,0.0,,S,Jonkheer,0
3,male,39.0,0,0,STON/O 2. 3101289,7.925,,S,Mr,1
3,female,43.0,1,6,CA 2144,46.9,,S,Mrs,0
3,male,49.0,0,0,LINE,0.0,,S,Mr,0
3,male,16.0,0,0,SOTON/OQ 392089,8.05,,S,Mr,1
1,male,30.0,0,0,113051,27.75,C111,C,Mr,0
1,female,30.0,0,0,12749,93.5,B73,S,Miss,1
3,female,9.0,2,2,W./C. 6608,34.375,,S,Miss,0
2,female,3.0,1,2,SC/Paris 2123,41.5792,,C,Miss,1
3,male,21.0,0,0,STON/O 2. 3101280,7.925,,S,Mr,0
3,male,19.0,0,0,347069,7.775,,S,Mr,0
1,male,,0,0,112052,0.0,,S,Mr,0
2,male,8.0,1,1,C.A. 33112,36.75,,S,Master,1
3,male,,0,0,349208,7.8958,,S,Mr,0
3,male,19.0,0,0,349231,7.8958,,S,Mr,0
2,female,30.0,0,0,234818,12.35,,Q,Miss,1
3,male,,0,0,383121,7.75,F38,Q,Mr,0
3,male,,1,0,376564,16.1,,S,Mr,0
2,female,32.0,0,0,234604,13.0,,S,Mrs,1
1,male,40.0,0,0,112277,31.0,A31,C,Mr,1
2,female,34.0,0,1,231919,23.0,,S,Mrs,1
3,male,,0,0,2647,7.225,,C,Mr,0
3,male,36.0,0,0,349210,7.4958,,S,Mr,0
2,female,36.0,0,0,27849,13.0,,S,Miss,1
2,male,25.0,0,0,244361,13.0,,S,Mr,0
1,male,,0,0,PC 17757,227.525,,C,Mr,0
1,female,,0,0,PC 17585,79.2,,C,Mrs,1
3,male,19.0,0,0,A/5. 10482,8.05,,S,Mr,1
3,female,,0,0,330980,7.8792,,Q,Miss,1
2,male,19.0,0,0,28665,10.5,,S,Mr,0
3,female,,1,0,2689,14.4583,,C,Mrs,0
1,female,,1,0,PC 17569,146.5208,B78,C,Mrs,1
3,male,16.0,0,0,347074,7.775,,S,Mr,0
3,male,,0,0,349253,7.8958,,C,Mr,0
1,female,19.0,0,2,11752,26.2833,D47,S,Miss,1
2,male,57.0,0,0,219533,12.35,,Q,Rev,0
3,female,6.0,4,2,347082,31.275,,S,Miss,0
2,male,,0,0,SC/PARIS 2131,15.05,,C,Mr,0
3,male,,0,0,Fa 265302,7.3125,,S,Mr,0
3,female,15.0,0,0,2667,7.225,,C,Miss,1
3,male,16.0,1,3,W./C. 6608,34.375,,S,Mr,0
1,female,54.0,1,0,PC 17603,59.4,,C,Mrs,1
1,male,64.0,1,4,19950,263.0,C23 C25 C27,S,Mr,0
3,male,24.0,0,0,349209,7.4958,,S,Mr,0
1,female,31.0,0,2,36928,164.8667,C7,S,Miss,1
1,male,,0,0,112379,39.6,,C,Dr,0
3,male,38.0,0,0,315089,8.6625,,S,Mr,0
2,male,32.0,2,0,S.O.C. 14879,73.5,,S,Mr,0
3,female,31.0,1,1,363291,20.525,,S,Mrs,1
3,female,5.0,0,0,364516,12.475,,S,Miss,1
3,male,40.0,1,1,364849,15.5,,Q,Mr,0
3,female,1.0,0,2,2653,15.7417,,C,Miss,1
1,male,71.0,0,0,PC 17754,34.6542,A5,C,Mr,0
3,female,18.0,0,0,347087,7.775,,S,Miss,0
1,female,39.0,1,1,110413,79.65,E67,S,Mrs,1
1,male,37.0,1,0,113803,53.1,C123,S,Mr,0
1,male,38.0,1,0,19943,90.0,C93,S,Mr,1
2,female,30.0,0,0,250648,13.0,,S,Miss,1
1,male,36.0,0,0,PC 17473,26.2875,E25,S,Mr,1
1,male,54.0,0,1,35281,77.2875,D26,S,Mr,0
2,female,54.0,1,3,29105,23.0,,S,Mrs,1
3,female,22.0,0,0,347085,7.775,,S,Miss,1
3,female,,0,0,14312,7.75,,Q,Miss,1
3,male,36.0,0,0,LINE,0.0,,S,Mr,0
3,male,,8,2,CA. 2343,69.55,,S,Mr,0
2,female,32.5,0,0,27267,13.0,E101,S,Miss,1
1,female,33.0,1,0,19928,90.0,C78,Q,Miss,1
2,female,30.0,3,0,31027,21.0,,S,Mrs,1
3,male,,8,2,CA. 2343,69.55,,S,Mr,0
3,male,,0,0,A4. 54510,8.05,,S,Mr,0
3,male,25.0,1,0,347083,7.775,,S,Mr,1
3,female,21.0,0,0,364846,7.75,,Q,Miss,0
3,female,,0,2,2668,22.3583,,C,Mrs,1
2,male,24.0,0,0,C.A. 29566,10.5,,S,Mr,0
3,male,21.0,0,0,350034,7.7958,,S,Mr,1
1,female,18.0,1,0,PC 17757,227.525,C62 C64,C,Mrs,1
3,female,4.0,0,1,349256,13.4167,,C,Miss,1
1,female,24.0,0,0,PC 17477,69.3,B35,C,Mme,1
1,male,47.0,0,0,111320,38.5,E63,S,Mr,0
1,male,36.0,1,0,19877,78.85,C46,S,Mr,0
1,male,65.0,0,0,13509,26.55,E38,S,Mr,0
3,male,,0,0,374746,8.05,,S,Mr,0
3,male,,0,0,2631,7.225,,C,Mr,0
1,female,18.0,0,2,110413,79.65,E68,S,Miss,1
3,male,27.0,0,0,349219,7.8958,,S,Mr,0
1,male,22.0,0,0,PC 17760,135.6333,,C,Mr,0
2,female,29.0,0,0,C.A. 29395,10.5,F33,S,Mrs,1
3,female,15.0,0,0,330923,8.0292,,Q,Miss,1
1,male,29.0,0,0,113501,30.0,D6,S,Mr,0
2,male,28.0,0,0,248740,13.0,,S,Mr,0
3,male,33.0,1,1,363291,20.525,,S,Mr,0
1,male,17.0,0,2,17421,110.8833,C70,C,Mr,1
2,female,34.0,0,0,C.A. 34260,10.5,F33,S,Mrs,1
3,male,24.0,0,0,349233,7.8958,,S,Mr,0
3,female,0.75,2,1,2666,19.2583,,C,Miss,1
3,male,43.0,0,0,C 7075,6.45,,S,Mr,0
2,male,36.5,0,2,230080,26.0,F2,S,Mr,0
3,male,24.5,0,0,342826,8.05,,S,Mr,0
3,male,20.0,1,0,STON/O 2. 3101285,7.925,,S,Mr,1
3,female,27.0,0,0,STON/O2. 3101283,7.925,,S,Miss,1
2,male,30.0,0,0,W/C 14208,10.5,,S,Mr,0
3,female,31.0,1,0,345763,18.0,,S,Mrs,0
3,male,20.0,0,0,A/5. 2151,8.05,,S,Mr,0
1,male,37.0,0,1,PC 17596,29.7,C118,C,Mr,0
3,male,,0,0,371110,24.15,,Q,Mr,0
2,male,59.0,0,0,237442,13.5,,S,Mr,0
1,female,,1,0,PC 17604,82.1708,,C,Mrs,1
3,female,23.0,0,0,CA. 2314,7.55,,S,Miss,1
1,female,56.0,0,1,11767,83.1583,C50,C,Mrs,1
3,male,,0,0,36209,7.725,,Q,Mr,0
2,male,29.0,1,0,SC/PARIS 2167,27.7208,,C,Mr,0
3,male,33.0,0,0,349239,8.6625,,C,Mr,0
3,female,18.0,0,0,365226,6.75,,Q,Miss,0
1,male,,0,0,113796,42.4,,S,Mr,0
3,male,11.0,0,0,2699,18.7875,,C,Mr,0
3,female,29.0,0,2,2650,15.2458,,C,Mrs,1
3,male,10.0,3,2,347088,27.9,,S,Master,0
3,female,,0,0,35852,7.7333,,Q,Miss,1
2,male,70.0,0,0,C.A. 24580,10.5,,S,Mr,0
1,female,17.0,1,0,PC 17758,108.9,C65,C,Mrs,1
1,female,41.0,0,0,16966,134.5,E40,C,Miss,1
1,female,,1,0,19996,52.0,C126,S,Mrs,1
1,male,18.0,1,0,PC 17758,108.9,C65,C,Mr,0
2,female,40.0,0,0,C.A. 33595,15.75,,S,Mrs,1
3,male,26.0,0,0,349248,7.8958,,S,Mr,0
2,male,30.0,0,0,28228,13.0,,S,Mr,0
2,female,4.0,1,1,29103,23.0,,S,Miss,1
2,male,34.0,0,0,248698,13.0,D56,S,Mr,1
1,male,39.0,0,0,112050,0.0,A36,S,Mr,0
